DATE,MSPUS_PC1
1964-01-01,4.84765
1965-01-01,6.34082
1966-01-01,6.83230
1967-01-01,5.81395
1968-01-01,9.01099
1969-01-01,3.22581
1970-01-01,-8.30078
1971-01-01,7.45474
1972-01-01,9.11794
1973-01-01,18.43778
1974-01-01,10.58282
1975-01-01,8.94591
1976-01-01,12.60344
1977-01-01,10.57094
1978-01-01,14.21268
1979-01-01,12.35452
1980-01-01,3.18725
1981-01-01,6.48649
1982-01-01,0.39884
1983-01-01,8.88407
1984-01-01,6.06965
1985-01-01,5.40963
1986-01-01,9.19608
1987-01-01,13.77343
1988-01-01,7.18720
1989-01-01,7.30675
1990-01-01,1.55699
1991-01-01,-1.90106
1992-01-01,1.16691
1993-01-01,4.22245
1994-01-01,3.10277
1995-01-01,2.33851
1996-01-01,5.07586
1997-01-01,3.38681
1998-01-01,4.77586
1999-01-01,5.39740
2000-01-01,4.63700
2001-01-01,3.31244
2002-01-01,7.46678
2003-01-01,3.27913
2004-01-01,13.54587
2005-01-01,8.43456
2006-01-01,3.04375
2007-01-01,0.49231
2008-01-01,-6.28700
2009-01-01,-6.05533
2010-01-01,3.26919
2011-01-01,0.98788
2012-01-01,8.67052
2013-01-01,8.93003
2014-01-01,7.34341
2015-01-01,2.93063
2016-01-01,3.73109
2017-01-01,5.66981
2018-01-01,0.88393
2019-01-01,-1.54485
2020-01-01,5.21468
2021-01-01,17.76228
2022-01-01,15.29108
2023-01-01,-6.76540
2024-01-01,.
