DATE,MRTSSM4453USN_PC1
1993-01-01,3.74435
1993-04-01,0.55008
1993-07-01,-1.98413
1993-10-01,-3.88817
1994-01-01,-1.12010
1994-04-01,2.69760
1994-07-01,4.19580
1994-10-01,4.11234
1995-01-01,0.29369
1995-04-01,-1.37766
1995-07-01,-1.23631
1995-10-01,0.59409
1996-01-01,8.09454
1996-04-01,6.40715
1996-07-01,5.09657
1996-10-01,2.13887
1997-01-01,0.23220
1997-04-01,2.90565
1997-07-01,3.26697
1997-10-01,8.65760
1998-01-01,6.33205
1998-04-01,4.81374
1998-07-01,4.76190
1998-10-01,5.76729
1999-01-01,2.75962
1999-04-01,4.73872
1999-07-01,3.88487
1999-10-01,5.48001
2000-01-01,7.52650
2000-04-01,6.94143
2000-07-01,9.65935
2000-10-01,6.69073
2001-01-01,6.60532
2001-04-01,4.70878
2001-07-01,1.02168
2001-10-01,3.78202
2002-01-01,1.55672
2002-04-01,1.77114
2002-07-01,1.95435
2002-10-01,-1.15264
2003-01-01,-2.26134
2003-04-01,-0.17675
2003-07-01,3.64611
2003-10-01,5.47703
2004-01-01,7.29814
2004-04-01,7.34132
2004-07-01,4.84997
2004-10-01,3.75209
2005-01-01,2.24313
2005-04-01,3.18488
2005-07-01,4.83533
2005-10-01,6.24260
2006-01-01,8.93135
2006-04-01,8.98918
2006-07-01,7.51853
2006-10-01,4.53855
2007-01-01,6.25000
2007-04-01,7.10820
2007-07-01,5.83279
2007-10-01,4.53532
2008-01-01,3.58322
2008-04-01,2.13842
2008-07-01,4.84955
2008-10-01,3.81014
2009-01-01,2.92798
2009-04-01,2.14521
2009-07-01,0.75937
2009-10-01,1.85747
2010-01-01,3.32645
2010-04-01,3.14015
2010-07-01,2.53499
2010-10-01,2.59513
2011-01-01,1.25444
2011-04-01,1.66422
2011-07-01,3.40779
2011-10-01,2.99949
2012-01-01,6.86328
2012-04-01,6.02792
2012-07-01,1.43081
2012-10-01,4.69593
2013-01-01,2.13399
2013-04-01,1.27146
2013-07-01,5.87004
2013-10-01,2.10793
2014-01-01,2.29031
2014-04-01,4.88745
2014-07-01,3.41271
2014-10-01,4.30733
2015-01-01,4.35039
2015-04-01,3.22332
2015-07-01,3.77390
2015-10-01,3.42262
2016-01-01,3.87728
2016-04-01,3.71076
2016-07-01,5.34284
2016-10-01,4.85612
2017-01-01,2.05653
2017-04-01,3.96933
2017-07-01,1.84016
2017-10-01,2.54545
2018-01-01,6.59565
2018-04-01,4.25565
2018-07-01,3.47943
2018-10-01,4.40252
2019-01-01,2.46502
2019-04-01,3.13145
2019-07-01,4.50249
2019-10-01,2.78134
2020-01-01,10.67133
2020-04-01,17.10367
2020-07-01,19.27777
2020-10-01,16.67914
2021-01-01,14.95924
2021-04-01,8.08981
2021-07-01,1.01302
2021-10-01,3.62315
2022-01-01,-1.18181
2022-04-01,-1.57476
2022-07-01,1.53009
2022-10-01,2.03187
2023-01-01,2.07512
2023-04-01,3.07948
2023-07-01,1.90213
2023-10-01,1.88527
2024-01-01,.
